url,predicted_label,phishing_probability
https://bit.ly/3SAhV4i,1,0.978
https://theos-sublime-site-0b5bb1.webflow.io/,1,0.9899
https://dvllba-gh.ink/gh,1,0.9332
https://datagh.app?q=5XPW4B,1,0.7891
https://earnmgjr-cofiad.xyz/GHMNBVCXZLKJGH.html?pid=r 917778183393224,1,0.9902
http://gcb.com.gh/login,1,0.5999
www.Login.com,0,0.3913
http://mtn-momo-gh-reward.blogspot.com/free-data,0,0.3501
https://ucc-fees-clearance.firebaseapp.com/student,1,0.9181
http://ug-student-portal-verify.freehostapp.com/login,1,0.9985
https://free-mtn-data-gh.com,0,0.4142
https://bit.ly/4g9FoTQ,1,0.9737
http://ojefj.gdn,0,0.4486
https.www.money,0,0.0577
http://ashesi-admissions-confirmation.site/portal,1,0.9978
https://airteltigo-bonus.net,1,0.6043
http://bit.ly/4gMt3VE,1,0.9581
https://ghanukt-gh.ink/GH,1,0.937
https://www.winslots.com.gh/#/activities/register/ACT-INV-207156/4,0,0.1201
www.freedata.com,0,0.1385
https://ug-edu-gh-login.vercel.app/student-verify,1,0.9332
http://knust-hostel-allocation.online/check,1,0.9009
https://ghana-campus-jobs.info/apply-now,0,0.416
https://calbank-secure-login.com,1,0.8696
