resp id,timestamp,university,level of study,original field,Categorised field,self rated knowledge,received phishing,Uni/Inst. email,Personal email,Whatsapp,Facebook/IG,SMS,Telegram,Link clicked,Applicable outcome,Asked password,Device misbehave,Nothing happened,Victim (money lost),Applicable,Reported to IT,Reported to friend/family,Not reported,Reported any,https://www.ug.edu.gh/admissions/apply,https://knust.edu.gh/portal/login,http://ug-edu-gh.login-portal.xyz/student-verify,https://mtn.com.gh/momo/confirm-payment,http://knust-student-login.000webhostapp.com/verify-account,http://mtn-momo-ghana-reward.blogspot.com/free-data-claim,url1 ug apply correct,url2 knust portal correct,url3 fake ug xyz correct,url4 mtn momo correct,url5 fake knust webhost correct,url6 fake mtn blogspot correct,quiz score,https check frequency,Different password,University training,confidence level,AI tool helpful,free text url1,free text url2,free text url3
1,2026-07-13 07:46:13,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, once or twice",0,1,0,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
2,2026-07-13 08:07:34,KNUST,Undergraduate (Year 1-2),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always",No / I am not aware of any,Very confident,Very helpful,,,
3,2026-07-13 08:15:27,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always",No / I am not aware of any,Very confident,Very helpful,,,
4,2026-07-13 08:27:33,University of Ghana (UG),Postgraduate (Msc/MPhil),Arts / Humanities,Arts / Humanities,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Not Sure,Phishing,Phishing,Phishing,1,1,0,0,1,1,4,Sometimes,"No, I use the same password",No / I am not aware of any,Somewhat confident,Very helpful,,,
5,2026-07-13 08:36:50,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,1,0,0,1,Legitimate,Not Sure,Phishing,Phishing,Phishing,Phishing,1,0,1,0,1,1,4,Always,Sometimes,"Yes, through emails or notices only",Very confident,Very helpful,,,
6,2026-07-13 08:43:17,PUG,Postgraduate (Msc/MPhil),Cybersecurity,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,
7,2026-07-13 08:59:32,University of Ghana (UG),PhD,Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,,,
8,2026-07-13 09:03:53,"University of Education,Winneba",Undergraduate (Year 1-2),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"No, never",0,0,0,0,0,0,No,0,0,0,0,I am not sure,0,0,0,0,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Never,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
9,2026-07-13 09:06:37,Graduate,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,Yes,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Legitimate,Phishing,1,1,1,1,0,1,5,Always,"Yes, always",No / I am not aware of any,Very confident,Very helpful,,,
10,2026-07-13 09:16:03,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,"Yes, always",No / I am not aware of any,Somewhat confident,Somewhat helpful,,,
11,2026-07-13 09:38:23,University of Ghana (UG),Postgraduate (Msc/MPhil),Arts / Humanities,Arts / Humanities,Intermediate (I understand common threats),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,Yes,1,0,0,1,0,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,1,0,0,0,0,0,1,Rarely,Sometimes,"Yes, formal training sessions",Very confident,Very helpful,,,
12,2026-07-13 09:45:11,KNUST,Undergraduate (Year 1-2),Computing / IT / Engineering,Computing / IT / Engineering,None at all,"Yes, many times",1,0,0,0,0,0,Yes,1,0,0,0,Yes,1,1,0,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Rarely,Sometimes,"Yes, formal training sessions",Very confident,Very helpful,,,
13,2026-07-13 09:55:33,Takoradi Technical University,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,1,0,No,0,0,0,0,No,1,0,1,0,1,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Always,"Yes, always","Yes, through emails or notices only",Very confident,Very helpful,,,
14,2026-07-13 09:56:08,UEW,Postgraduate (Msc/MPhil),Guidance and counselling,Business / Social Sciences,Advanced (I can protect myself confidently),"Yes, once or twice",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Not Sure,Phishing,Phishing,Phishing,Phishing,Not Sure,0,0,1,0,1,0,2,Always,"Yes, always",No / I am not aware of any,Very confident,Very helpful,,,
15,2026-07-13 09:58:48,University of Ghana (UG),Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,1,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
